classification	db_link	observation_name	observation_sum	1006_Rp_Control	1007_Rp_LE	1025_Rp_Control	1028_Rp_Control	1028bis_Rp_Control	1038_Rp_Control	1046_Rp_LE	1047_Rp_Control	1059_Rp_Control	1060_Rp_Control	1065_Rp_LE	1066_Rp_Control	1073_Rp_LE	1086_Rp_LE	1086bis_Rp_LE	1099_Rp_Control	1099bis_Rp_Control	1102_Rp_Control	1122_Rp_Control	1136_Rp_Control	1136bis_Rp_Control	1140_Rp_LE	1150_Rp_Control	1150bis_Rp_Control	581_Rm_Control	581bis_Rm_Control	592_Rm_LE	602_Rm_Control	612_Rm_Control	624_Rm_LE	624bis_Rm_LE	624ter_Rm_LE	629_Rm_Control	641_Rm_LE	651_Rm_Control	654_Rm_Control	665_Rm_LE	677_Rm_Control	680_Rm_LE	685_Rm_Control	689_Rm_LE	701_Rm_Control	732_Rm_LE	732bis_Rm_LE	750_Rm_Control	777_Rm_Control	798_Rm_LE	815_Rm_LE	817_Rm_Control	827_Rm_LE	835_Rm_Control	855_Rm_Control	862_Rm_LE	896_Rm_Control	920_Rm_LE	927_Rm_Control	935_Rm_Control	944_Rp_Control	950_Rp_LE	950bis_Rp_LE	952_Rp_LE	959_Rp_Control	964_Rp_Control	966_Rp_LE	972_Rp_Control	978_Rp_LE	978bis_Rp_LE	989_Rp_Control	992_Rp_LE
Metabolism;Lipid metabolism;Steroid biosynthesis;Steroid biosynthesis	https://www.genome.jp/entry/ko00100	ko00100	30.75	0.0	4.4375	0.0	0.375	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.375	0.75	0.0	0.375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	1.0	1.625	0.75	0.0	0.0	0.0	0.0	0.0	1.6875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.875	2.5	0.0	0.0	0.0	8.375	0.0	0.4375	0.0	0.0	0.3125	0.0	0.0	0.0	0.0	0.0	1.1875	0.3125	0.0	1.0	0.0	0.0	1.375
Metabolism;Lipid metabolism;Primary bile acid biosynthesis;Primary bile acid biosynthesis	https://www.genome.jp/entry/ko00120	ko00120	131905.46333333332	1160.2033333333334	1311.3055555555557	1150.3977777777777	1137.38	838.3977777777777	1469.3977777777777	1772.7777777777778	1676.8233333333333	1946.9722222222222	2382.1388888888887	2250.786666666667	1933.6944444444443	1254.4811111111112	2142.722222222222	1149.6144444444444	1939.9533333333336	1351.4722222222222	2378.4255555555555	1832.8333333333333	1031.9544444444446	1104.0088888888888	1747.361111111111	1613.1855555555555	961.0833333333334	2021.9633333333331	1937.352222222222	1968.1944444444443	2919.8	2036.5488888888888	2021.648888888889	2501.777777777778	1390.7311111111112	2594.0555555555557	1535.3244444444445	2705.508888888889	2332.213333333333	1696.7777777777778	2492.472222222222	1865.0188888888888	2243.6299999999997	2040.648888888889	2834.768888888889	1770.2688888888888	523.5555555555555	1740.7588888888888	2241.8055555555557	2193.398888888889	2233.9355555555553	2847.3144444444447	2512.6011111111115	2933.0466666666666	2242.5	2266.8611111111113	2479.8155555555554	1472.3144444444445	2624.527777777778	2192.241111111111	1834.4066666666668	1885.9077777777775	1009.2311111111111	1413.3233333333333	2684.5833333333335	2459.8888888888887	1925.611111111111	2345.4533333333334	2465.5466666666666	586.7311111111111	2676.027777777778	1668.0
Metabolism;Lipid metabolism;Secondary bile acid biosynthesis;Secondary bile acid biosynthesis	https://www.genome.jp/entry/ko00121	ko00121	1187149.1700000004	10441.83	11801.75	10353.58	10236.42	7545.58	13224.58	15955.0	15091.41	17522.75	21439.25	20257.08	17403.25	11290.33	19284.5	10346.53	17459.58	12163.25	21405.83	16495.5	9287.59	9936.08	15726.25	14518.67	8649.75	18197.67	17436.17	17713.75	26278.2	18328.94	18194.84	22516.0	12516.58	23346.5	13817.92	24349.58	20989.92	15271.0	22432.25	16785.17	20192.67	18365.84	25512.92	15932.42	4712.0	15666.83	20176.25	19740.59	20105.42	25625.83	22613.410000000003	26397.42	20182.5	20401.75	22318.34	13250.83	23620.75	19730.17	16509.66	16973.17	9083.08	12719.91	24161.25	22139.0	17330.5	21109.08	22189.92	5280.58	24084.25	15012.0
Metabolism;Metabolism of cofactors and vitamins;Ubiquinone and other terpenoid-quinone biosynthesis;Ubiquinone and other terpenoid-quinone biosynthesis	https://www.genome.jp/entry/ko00130	ko00130	240701.325	1520.9885	2862.7130000000006	2168.7794999999996	1158.685	1008.0494999999999	2760.145	4069.5544999999997	2625.1205	2630.2275	3907.0910000000003	2731.5810000000006	2129.585	2373.5319999999997	4569.2525000000005	2298.6855	4680.241	3059.5375	3827.7335000000007	3821.6575	996.719	1188.2675	3235.9525000000003	1780.877	1136.0829999999999	2836.8675	3005.84	3867.6279999999997	5695.093	4051.5555	4186.3275	4573.0025000000005	2487.1619999999994	5278.7325	3496.197	4695.448	4551.8075	2391.057	5040.8730000000005	3933.053999999999	4400.8065	4579.6025	5655.1905	2741.2375	1176.3145	3659.4610000000002	2941.8725	3283.4214999999995	4322.0125	5974.780000000001	5340.6125	6231.715	4667.738	4475.37	5243.244	2551.2144999999996	4778.8855	4491.782	3487.0175000000004	1565.3925	1388.0169999999998	2779.5580000000004	4547.6375	4004.875	3547.102	5133.225	4935.133	1202.6535	5422.2	3541.55
Metabolism;Lipid metabolism;Steroid hormone biosynthesis;Steroid hormone biosynthesis	https://www.genome.jp/entry/ko00140	ko00140	41984.78611111113	233.64333333333332	542.7544444444444	288.9816666666667	114.19444444444444	115.28722222222223	542.4861111111111	696.565	429.5416666666667	417.25444444444446	704.2127777777778	487.24055555555555	341.2361111111111	379.1483333333333	737.0044444444444	397.2577777777778	826.5044444444444	535.2127777777778	640.3238888888889	689.7544444444444	89.815	100.48611111111111	533.7266666666667	168.98611111111111	108.89333333333333	542.5138888888889	517.7266666666667	660.0322222222222	931.7483333333334	705.0611111111111	768.7822222222222	822.5044444444444	444.8566666666667	953.5	617.5972222222222	865.3611111111111	768.4583333333334	456.4538888888889	943.4211111111113	765.0233333333333	765.69	699.2127777777778	948.56	483.86555555555555	219.57888888888888	721.9766666666667	494.8288888888889	574.1483333333333	792.4627777777778	1173.7038888888887	997.8427777777777	1058.6572222222223	873.2544444444444	794.4766666666667	944.4538888888887	549.9677777777778	868.625	883.125	613.2594444444444	164.38888888888889	225.88444444444445	490.3333333333333	730.815	702.4122222222222	632.2083333333334	885.8172222222222	1102.448888888889	222.51833333333332	940.5649999999999	546.1527777777778
Metabolism;Energy metabolism;Oxidative phosphorylation;Oxidative phosphorylation	https://www.genome.jp/entry/ko00190	ko00190	340870.37553398067	2729.4907766990295	3447.820388349516	3096.7513592233017	3170.0668932038843	2353.7088349514565	3740.069611650485	4954.5310679611675	4338.697669902913	5158.848058252428	6124.7666019417475	5569.90291262136	4773.838834951457	3585.179514563107	6263.820679611652	3206.4624271844673	5251.1228155339795	3688.063106796118	5941.595631067964	4669.925242718445	3119.143786407767	3271.3484466019413	4931.02349514563	3679.8371844660196	2249.198834951457	4972.470970873788	5152.008155339808	4948.430582524272	7212.938543689324	5150.013883495146	5183.070776699031	6366.135145631068	3569.279223300969	6528.7480582524295	3786.1708737864105	7313.560873786405	6071.103009708737	4441.015728155339	6700.014660194175	4844.134951456312	5785.02427184466	6115.18660194175	7427.6343689320365	4391.544271844661	1453.4198058252425	4460.351456310681	5319.664077669902	5502.481456310678	5895.583106796114	6860.6840776699	6577.828252427182	7451.47	5946.7177669902885	5770.410679611651	6541.041844660192	3489.0551456310677	6617.364854368931	5407.186213592234	4737.316310679611	4399.199126213593	2740.3449514563104	3452.8086407767	6334.2427184466	6077.4393203883465	5092.36504854369	6015.983009708734	5713.1539805825205	1670.580873786407	7097.194174757278	4972.7895145631055
Metabolism;Nucleotide metabolism;Purine metabolism;Purine metabolism	https://www.genome.jp/entry/ko00230	ko00230	544105.0323529411	4488.140504201682	5450.4614285714315	4784.732521008402	5025.820672268909	3935.844369747897	5727.109831932775	7676.445294117644	6926.328991596639	7929.766890756299	9484.46210084034	8568.534621848736	7484.978991596635	5579.293025210088	9435.508403361346	5003.37285714286	8255.381680672273	5915.206386554625	9550.57201680673	7258.71773109244	5078.04117647059	5657.317899159664	7622.819915966387	7603.091428571429	4614.293697478992	7975.124537815129	8812.251848739497	7891.278235294114	11901.346134453786	8148.122268907567	8122.026554621848	10190.141344537813	5695.655294117643	10802.815966386555	6006.55453781513	11713.360672268904	9396.80899159663	7079.18445378151	10428.281008403359	7760.398571428573	9201.156554621852	9444.618487394962	11571.579579831927	6943.527142857141	2293.3710924369734	7150.094705882355	8434.029327731096	8720.001176470587	9429.296050420164	10850.491428571422	10517.987731092433	11831.060336134453	9191.550840336136	8998.361428571428	10425.420588235285	5661.046134453782	10674.875546218485	8396.117478991597	7399.094117647061	7242.831260504197	4445.13394957983	5492.825546218489	10305.64865546218	9544.530168067227	7928.234873949581	9596.270084033611	9114.4968907563	2780.7883193277316	11992.589831932768	7548.410168067229
Metabolism;Nucleotide metabolism;Pyrimidine metabolism;Pyrimidine metabolism	https://www.genome.jp/entry/ko00240	ko00240	753034.4524000003	6368.85906666667	7380.279333333336	6516.692400000003	7349.770133333336	5680.120533333333	7925.226933333337	10344.517333333333	9644.864266666667	11290.514400000002	13159.130666666671	12340.922399999994	10757.215999999991	7698.912400000002	12878.805600000003	6909.105466666669	11104.165733333337	7993.061066666671	13262.705733333341	9924.717733333333	7322.821866666668	8073.9584	10475.5172	10427.841466666665	6276.676533333335	11625.872933333336	12437.875866666667	11057.329333333331	16202.307333333338	11244.808533333335	11205.986400000005	14320.0272	7999.710533333331	14770.620000000006	8186.853600000005	16137.835866666666	12866.772933333328	10243.892800000003	14231.238400000002	10557.800933333336	12483.18426666667	13035.940266666665	15782.59946666666	10002.214	3097.3796	9736.355733333337	12230.392266666666	12531.1804	12921.03733333333	14583.50546666666	14341.166933333334	15853.72733333333	12509.069199999998	12398.36906666667	14158.323866666658	7954.1033333333335	14810.626799999996	11497.947466666667	10163.259066666671	10678.290933333328	6374.069999999999	7713.4868000000015	14226.532266666665	13348.83426666667	10896.413066666668	12792.1356	12415.811599999999	3819.702266666665	16163.22226666666	10320.236133333332
Metabolism;Amino acid metabolism;Alanine, aspartate and glutamate metabolism;Alanine, aspartate and glutamate metabolism	https://www.genome.jp/entry/ko00250	ko00250	1170930.8781481478	9432.45222222222	11953.305925925923	10124.24851851852	10711.74888888889	8435.666296296296	12344.931851851854	16723.032962962963	14649.331481481482	16937.3062962963	20268.86518518519	19086.704814814813	16036.012962962966	12046.135555555555	20340.175185185184	10910.545555555555	17783.265925925927	12692.113703703702	20496.434444444443	15611.957037037033	10958.124814814815	11915.711851851851	16447.48518518518	14813.263703703704	9115.260370370372	17708.369629629626	19129.926296296297	17488.472592592592	24616.18074074074	17378.818888888887	17527.148518518516	22027.022222222222	12352.9562962963	23004.96666666667	13049.67333333333	24951.438148148147	19969.034444444445	15864.538888888885	22559.014444444445	17012.77851851852	19546.07925925926	20133.54074074074	24564.152962962966	15415.847037037036	5044.361481481482	15691.875185185183	18119.539259259254	18760.82925925926	20281.12481481482	23651.92	22805.79407407407	24850.91111111111	19643.341851851856	19548.366296296295	22298.55740740741	12915.890000000003	22748.113333333335	18317.548888888887	15839.085185185191	15483.115925925924	9908.754814814814	12477.686666666666	21539.94185185185	20414.80037037037	17270.00296296296	20454.665925925925	21048.405185185187	6255.2674074074075	25237.469629629628	16189.468888888885
Metabolism;Amino acid metabolism;Glycine, serine and threonine metabolism;Glycine, serine and threonine metabolism	https://www.genome.jp/entry/ko00260	ko00260	681605.7549999999	5336.816176470588	6994.722352941176	5838.049999999999	6043.246764705883	4821.473529411765	7200.49	9718.634999999998	8495.932352941178	9618.634705882358	11770.980588235296	10756.026470588238	9153.927941176473	7091.85	11912.662647058823	6405.605588235294	10583.902941176471	7499.305294117647	11764.164705882355	9103.036176470589	6059.882058823529	6713.088529411763	9675.312647058821	8702.844411764707	5385.988529411765	10138.780588235293	11008.762352941178	10104.823823529414	14333.203235294117	10171.536176470589	10400.365000000002	13126.893529411765	7208.56911764706	13512.995588235297	7724.679705882354	14921.28794117647	11706.455588235296	9191.818823529413	13261.838529411767	10018.408823529413	11398.495588235292	12228.444411764705	14452.502941176474	8732.809411764705	2951.565882352941	9226.288235294116	10474.87264705882	10858.967352941174	12137.184411764707	13773.953823529415	13328.126176470589	14717.749117647058	11585.14	11483.82294117647	13138.602647058824	7330.56911764706	13192.174411764703	10668.39294117647	9244.132058823528	8556.670294117646	5637.082352941176	7064.85	12478.988823529411	11794.981470588235	10040.993235294114	11871.08411764706	11769.655882352943	3634.011764705882	14716.231470588235	9640.413235294116
Metabolism;Amino acid metabolism;Cysteine and methionine metabolism;Cysteine and methionine metabolism	https://www.genome.jp/entry/ko00270	ko00270	755405.2196969698	6492.60696969697	7183.265151515151	6630.584242424242	8058.108181818182	6274.138181818182	7670.923333333334	10086.317575757577	9814.560303030303	11616.319696969698	13062.914545454545	12881.79090909091	11393.163636363639	7878.219090909092	12613.082424242426	6893.787878787877	10478.461515151515	7709.503030303032	13427.647878787882	9459.771212121212	8241.071818181817	9028.46818181818	10586.258484848486	11509.95484848485	7038.579393939394	12230.701515151513	13298.872424242425	11125.905151515153	15633.950606060605	11064.084848484847	10980.604545454546	14564.460606060606	8168.903333333334	14594.768181818183	7834.263333333333	16439.776969696966	12471.39696969697	10742.939696969697	13831.297272727275	10324.412727272727	12170.04	13274.728787878787	15309.345151515152	10248.374242424243	3002.7042424242422	9491.56818181818	12832.233333333332	12939.905757575754	12929.568787878788	13938.404848484848	13968.338484848482	15134.395454545456	11935.21090909091	12193.257575757576	13810.949090909091	8104.181515151515	14547.172424242426	10957.250303030303	9975.413636363635	11897.066666666666	6853.697575757575	7703.150303030304	14027.519696969697	13249.919696969697	10802.10393939394	12173.068787878788	12126.445454545456	3913.2303030303024	16233.206666666665	10326.931212121208
