classification	db_link	observation_name	observation_sum	1006_Rp_Control	1007_Rp_LE	1025_Rp_Control	1028_Rp_Control	1028bis_Rp_Control	1038_Rp_Control	1046_Rp_LE	1047_Rp_Control	1059_Rp_Control	1060_Rp_Control	1065_Rp_LE	1066_Rp_Control	1073_Rp_LE	1086_Rp_LE	1086bis_Rp_LE	1099_Rp_Control	1099bis_Rp_Control	1102_Rp_Control	1122_Rp_Control	1136_Rp_Control	1136bis_Rp_Control	1140_Rp_LE	1150_Rp_Control	1150bis_Rp_Control	581_Rm_Control	581bis_Rm_Control	592_Rm_LE	602_Rm_Control	612_Rm_Control	624_Rm_LE	624bis_Rm_LE	624ter_Rm_LE	629_Rm_Control	641_Rm_LE	651_Rm_Control	654_Rm_Control	665_Rm_LE	677_Rm_Control	680_Rm_LE	685_Rm_Control	689_Rm_LE	701_Rm_Control	732_Rm_LE	732bis_Rm_LE	750_Rm_Control	777_Rm_Control	798_Rm_LE	815_Rm_LE	817_Rm_Control	827_Rm_LE	835_Rm_Control	855_Rm_Control	862_Rm_LE	896_Rm_Control	920_Rm_LE	927_Rm_Control	935_Rm_Control	944_Rp_Control	950_Rp_LE	950bis_Rp_LE	952_Rp_LE	959_Rp_Control	964_Rp_Control	966_Rp_LE	972_Rp_Control	978_Rp_LE	978bis_Rp_LE	989_Rp_Control	992_Rp_LE
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;gyaR, GOR1, glyoxylate reductase [EC:1.1.1.26]	https://www.genome.jp/dbget-bin/www_bget?K00015	K00015	8779.0	95.0	170.0	58.0	94.0	37.0	55.0	147.0	63.0	66.0	83.0	127.0	109.0	165.0	147.0	55.0	78.0	103.0	99.0	58.0	38.0	24.0	381.0	91.0	48.0	163.0	125.0	167.0	183.0	129.0	176.0	248.0	80.0	88.0	121.0	186.0	131.0	136.0	111.0	163.0	208.0	356.0	235.0	109.0	18.0	149.0	172.0	129.0	348.0	194.0	140.0	226.0	230.0	158.0	108.0	74.0	121.0	56.0	64.0	48.0	93.0	59.0	97.0	103.0	169.0	105.0	141.0	49.0	84.0	138.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;LDH, ldh, L-lactate dehydrogenase [EC:1.1.1.27]	https://www.genome.jp/dbget-bin/www_bget?K00016	K00016	727896.2000000003	9450.45	4454.8	6717.48	12313.32	9594.779999999999	5193.63	6490.4	11385.53	13376.33	11180.47	13163.65	13889.65	7095.33	9012.58	5374.8	5948.3	6159.23	14661.75	5992.53	13207.52	16506.53	9003.58	28359.2	16064.1	13335.37	18838.0	9501.15	18867.75	10169.83	7892.42	12559.58	7651.53	13558.05	4772.0	14729.55	9947.72	9852.5	8892.7	6744.25	11119.85	10678.67	12254.82	10994.9	1731.3	6183.1	14960.92	14174.87	10064.15	8475.3	10298.68	11687.5	7932.55	9037.03	10701.27	7002.38	15145.47	6472.4	7945.13	19875.12	7622.98	6063.03	16297.52	12728.77	8270.029999999999	9204.779999999999	7265.27	3215.55	20694.77	7889.75
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;hprA, glycerate dehydrogenase [EC:1.1.1.29]	https://www.genome.jp/dbget-bin/www_bget?K00018	K00018	1208198.5500000003	9363.25	12478.92	9558.11	10407.75	8072.33	13248.06	16952.08	14821.78	17183.08	21721.719999999998	21319.75	17447.9	12914.86	20847.510000000002	11672.47	18728.25	12744.33	20177.25	16567.08	9381.12	9352.78	17851.0	10235.85	6483.25	19516.92	18698.280000000002	18949.42	23646.9	17679.08	19277.089999999997	24846.0	13341.83	21528.25	14361.92	27203.5	21045.67	17965.9	23903.530000000002	18069.75	20094.75	20964.67	25803.42	16012.0	5150.92	16597.5	20415.92	20300.9	22414.75	24714.92	23837.910000000003	25961.75	20571.4	21614.530000000002	22935.42	13443.5	23105.87	19593.5	16904.730000000003	15270.87	10485.75	13186.66	21949.92	21765.969999999998	18727.110000000004	20143.83	20789.239999999998	6442.98	22556.67	16876.67
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;E1.1.1.30, bdh, 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	https://www.genome.jp/dbget-bin/www_bget?K00019	K00019	5708.0	28.0	104.0	13.0	34.0	48.0	40.0	53.0	31.0	17.0	90.0	64.0	32.0	36.0	28.0	58.0	142.0	78.0	63.0	85.0	13.0	31.0	39.0	45.0	31.0	127.0	80.0	112.0	65.0	105.0	105.0	214.0	56.0	121.0	109.0	179.0	82.0	87.0	79.0	117.0	26.0	222.0	89.0	86.0	43.0	128.0	124.0	111.0	143.0	81.0	106.0	114.0	183.0	130.0	80.0	19.0	57.0	98.0	73.0	42.0	63.0	84.0	46.0	185.0	131.0	50.0	93.0	58.0	72.0	130.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;mmsB, HIBADH, 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	https://www.genome.jp/dbget-bin/www_bget?K00020	K00020	452216.65	5627.1	2581.4	4564.2	8731.2	6090.6	4435.65	4057.7	7258.35	10623.0	8509.4	11126.2	11181.95	4800.75	6401.5	3450.65	2917.15	2716.45	10066.75	4472.1	9380.3	9322.6	6806.0	9344.6	6008.3	9735.6	9657.25	6031.2	8331.5	5476.5	5160.0	8265.0	5275.6	7463.15	2690.0	8780.65	6627.4	7112.25	6084.1	3553.25	7382.8	6615.25	7782.45	7338.2	1043.65	3241.55	11219.0	10564.35	5818.45	4566.4	5763.05	6771.5	5573.9	6243.85	7262.3	3780.15	8476.65	4223.7	5918.65	13306.85	5399.7	3635.35	9249.05	9258.05	6070.1	5349.35	3984.8	1259.65	9198.3	5202.25
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;mdh, malate dehydrogenase [EC:1.1.1.37]	https://www.genome.jp/dbget-bin/www_bget?K00024	K00024	979442.16	5222.16	12765.83	7609.67	4141.0	4384.67	10309.5	17267.67	9827.83	9017.5	13897.66	14215.16	7628.5	10044.17	19628.5	10184.5	19264.160000000003	13223.0	15327.66	14344.5	3783.34	4859.5	14194.0	7966.17	5167.83	13696.5	14996.5	17808.33	19462.0	15400.17	16491.5	17760.5	9727.17	17884.0	14273.67	16838.33	16614.5	12803.67	20463.83	17355.339999999997	16270.84	17794.0	20907.83	13801.0	5310.17	16278.66	10240.0	12162.84	18112.5	23986.0	21985.0	21829.0	18275.83	18275.0	20213.839999999997	14106.17	18752.83	18657.17	12583.0	5195.0	7029.17	14601.33	15704.0	14994.5	15225.17	18537.33	29064.83	6936.16	22416.0	14346.5
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;ME2, sfcA, maeA, malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	https://www.genome.jp/dbget-bin/www_bget?K00027	K00027	601488.2800000003	6229.68	4324.9	6135.28	10723.949999999999	7277.85	5160.0599999999995	6907.2	7882.93	11940.16	10424.4	13131.78	12102.45	7296.33	10195.74	5439.57	4995.23	4445.86	10856.58	5484.76	10850.39	10860.43	9579.08	10944.6	6986.63	12498.27	13548.16	8918.95	10130.58	7213.5	7581.42	12296.58	7035.6	10595.15	4158.17	13986.15	8631.82	11168.67	9213.76	6587.92	8522.720000000001	12973.0	10452.449999999999	9402.529999999999	1802.74	5952.63	13524.59	12147.77	9951.779999999999	7268.74	9253.880000000001	8797.83	6937.98	8484.26	8456.14	6381.32	10572.57	5928.7	6931.9	15157.02	7332.12	5672.26	10222.890000000001	10293.640000000001	8124.76	6582.18	6805.47	3198.81	11611.140000000001	9003.92
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;E1.1.1.40, maeB, malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	https://www.genome.jp/dbget-bin/www_bget?K00029	K00029	727763.41	4460.91	8811.58	6467.67	2887.5	2376.17	8750.75	12508.17	7829.08	8079.25	12453.16	8558.16	6242.25	7179.17	14335.75	7105.0	14555.41	9329.5	11803.16	12204.25	2023.3400000000001	2148.75	10009.25	2534.42	1707.08	8097.25	7869.75	11143.08	17530.0	12585.17	12748.75	13547.75	7274.42	14586.0	10504.92	14847.83	14506.25	7219.17	16139.58	12332.59	14209.09	13444.5	18023.08	7766.75	3805.42	11459.41	8206.75	9739.84	13396.5	18758.0	16297.5	19666.5	15293.58	13720.75	16789.339999999997	7691.42	15182.58	14237.92	10702.0	3068.0	3841.92	8176.33	13512.0	12595.75	11173.42	16098.33	15317.08	3665.16	15657.5	10974.75
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;IDH3, isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	https://www.genome.jp/dbget-bin/www_bget?K00030	K00030	27221.5	85.75	321.25	136.5	306.5	176.25	132.5	513.75	220.0	251.75	339.75	348.0	204.25	420.5	436.5	329.25	564.25	409.25	227.0	289.25	179.75	202.75	591.0	178.0	135.0	415.0	673.5	545.25	473.25	468.0	459.0	657.25	324.0	938.0	439.25	808.75	409.0	226.5	413.0	376.5	483.0	922.0	499.25	349.0	76.5	317.75	360.75	561.75	680.5	469.25	522.5	463.0	338.25	698.5	642.75	477.75	578.0	269.75	157.0	161.0	258.75	284.75	388.5	170.0	317.5	350.5	486.25	214.0	484.75	613.25
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;IDH1, IDH2, icd, isocitrate dehydrogenase [EC:1.1.1.42]	https://www.genome.jp/dbget-bin/www_bget?K00031	K00031	1140817.7799999996	9151.68	11227.9	10237.28	11098.449999999999	8733.35	12442.81	16044.449999999999	15867.18	18274.660000000003	21580.4	19933.78	17740.45	12104.83	21177.99	10991.57	17281.23	12490.36	20919.58	15217.01	11712.14	12660.93	16734.08	14595.85	9348.380000000001	16755.27	18599.66	15288.199999999999	22547.83	15986.75	16107.17	20573.08	11597.85	18921.4	11104.17	25529.9	20049.82	15647.67	22815.510000000002	15982.67	18646.97	19125.5	24443.2	14089.28	4905.74	14550.88	17632.84	18305.769999999997	20093.78	21749.239999999998	21603.879999999997	23870.58	19513.480000000003	18423.010000000002	21281.139999999996	11160.32	21351.07	17440.45	16441.65	15611.77	9662.37	10718.76	20956.389999999996	20757.389999999996	17452.760000000002	19738.68	18559.47	5905.8099999999995	24828.889999999996	16923.42
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;PGD, gnd, gntZ, 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	https://www.genome.jp/dbget-bin/www_bget?K00033	K00033	294552.11	2463.3599999999997	4262.38	1723.77	2534.9	1870.12	1659.95	5157.07	1756.73	1764.75	1924.5099999999998	5887.0599999999995	1569.5500000000002	3235.37	5787.85	3247.6000000000004	4962.71	4060.9	3853.66	2565.7	2046.39	2637.1499999999996	4806.25	6741.97	3555.43	5702.45	7290.45	7154.48	6224.4	4094.67	3954.75	4600.75	2652.12	5026.55	4140.42	2393.13	3079.05	5614.07	4708.48	5213.09	4072.19	5032.5	4205.48	6570.15	1647.2199999999998	4974.51	2754.25	2755.94	5367.4	5746.55	6191.1	4524.5	3798.78	4852.65	3957.69	6627.22	5540.33	4313.82	1829.45	3640.3999999999996	3316.82	6710.53	4104.6	3211.15	4514.82	3778.7799999999997	14120.83	3439.86	7340.849999999999	3687.75
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;gdh, glucose 1-dehydrogenase [EC:1.1.1.47]	https://www.genome.jp/dbget-bin/www_bget?K00034	K00034	17844.0	204.0	273.0	122.0	203.0	85.0	113.0	297.0	139.0	141.0	178.0	255.0	232.0	336.0	299.0	116.0	160.0	200.0	214.0	115.0	91.0	75.0	763.0	234.0	126.0	331.0	263.0	342.0	387.0	238.0	344.0	474.0	161.0	185.0	245.0	379.0	266.0	274.0	202.0	331.0	426.0	721.0	495.0	236.0	39.0	299.0	351.0	236.0	663.0	398.0	289.0	472.0	333.0	323.0	222.0	155.0	257.0	109.0	142.0	115.0	198.0	123.0	219.0	203.0	341.0	232.0	276.0	101.0	219.0	258.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;G6PD, zwf, glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	https://www.genome.jp/dbget-bin/www_bget?K00036	K00036	287178.70999999996	2262.7599999999998	4163.98	1667.57	2379.7	1790.52	1652.5500000000002	5124.87	1714.1299999999999	1669.75	1901.11	5867.86	1519.3500000000001	3207.37	5758.85	3227.2000000000003	4926.3099999999995	3998.7	3753.66	2507.1	1986.59	2506.5499999999997	4796.25	6440.370000000001	3426.63	5648.85	6867.45	7068.28	5852.4	4019.67	3909.75	4532.75	2598.52	4697.15	4118.42	2306.73	2961.65	5604.07	4652.88	5173.09	3686.3900000000003	5001.5	4069.2799999999997	6527.95	1626.82	4938.71	2594.25	2639.34	5287.2	5529.15	6084.3	4273.5	3576.38	4842.05	3852.8900000000003	6617.82	5313.929999999999	4273.62	1801.05	3235.7999999999997	3293.62	6676.93	3963.7999999999997	3099.3500000000004	4491.22	3532.18	14076.03	3421.46	6929.05	3661.75
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;uxuB, fructuronate reductase [EC:1.1.1.57]	https://www.genome.jp/dbget-bin/www_bget?K00040	K00040	65527.979999999996	495.33	948.33	404.66999999999996	701.0	467.67	378.0	1209.67	450.0	528.3299999999999	881.3299999999999	986.33	704.0	895.67	914.33	537.0	959.3299999999999	934.3299999999999	754.3299999999999	598.3299999999999	425.66999999999996	449.0	1349.33	778.0	410.33000000000004	1266.0	1562.33	1262.33	1372.33	909.6700000000001	895.33	1504.33	671.6700000000001	1379.0	816.0	1906.0	958.0	901.6700000000001	1003.3299999999999	1178.67	1193.67	1797.33	1427.33	864.3299999999999	237.67	1105.33	1056.67	1013.67	1905.33	1486.67	1383.67	1379.33	749.3299999999999	997.33	1153.67	710.6700000000001	1216.0	738.0	562.6700000000001	777.0	771.6700000000001	705.0	784.6700000000001	725.6700000000001	904.0	989.0	1289.33	603.3299999999999	1364.67	888.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;uxaB, tagaturonate reductase [EC:1.1.1.58]	https://www.genome.jp/dbget-bin/www_bget?K00041	K00041	249212.98000000004	1004.33	4075.33	583.6700000000001	1580.0	1400.67	1556.0	5058.67	931.0	1009.33	1734.33	5892.33	902.0	3226.67	5809.33	3313.0	5135.33	4081.33	2564.33	2047.33	1129.67	1233.0	4723.33	2290.0	1375.33	5876.0	6524.33	6985.33	2966.33	3019.67	3636.33	4638.33	2524.67	4019.0	3596.0	2721.0	1908.0	5803.67	4531.33	5160.67	2714.67	4881.33	2797.33	5888.33	1670.67	4947.33	2058.67	2175.67	5816.33	4519.67	6336.67	3147.33	3552.33	4365.33	3913.67	6341.67	4187.0	3947.0	1670.67	1233.0	3315.67	6332.0	1511.67	2220.67	4218.0	2323.0	13510.33	3598.33	5466.67	3985.0
Oxidoreductases;Acting on the CH-OH group of donors;With NAD+ or NADP+ as acceptor;garR, glxR, 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	https://www.genome.jp/dbget-bin/www_bget?K00042	K00042	433740.38000000024	5266.83	2624.58	4116.25	8425.92	5939.75	4414.08	3963.42	7045.58	10341.91	8517.25	11152.58	10904.5	4780.75	6232.41	3464.5	3002.83	2659.16	9511.08	4400.41	8824.34	8572.08	6752.91	6998.25	4353.33	9687.17	8920.58	5906.83	7141.33	5236.0	5101.75	8327.66	5076.5	6447.0	2609.25	8993.25	6520.42	7183.92	5956.33	3598.67	6722.92	6820.25	7634.25	7281.33	1038.92	3305.83	10929.84	10426.34	5721.83	4339.17	5489.5	5993.83	5367.83	6373.91	6952.84	3691.25	8096.17	4300.75	5772.5	12538.17	5429.0	3552.83	8250.84	9243.84	6204.33	4810.58	3608.25	1297.33	8285.34	5289.25
